target_domain	in_sent	lemma_pos
Government	"King Edward is now overlord of this northern kingdom . "" "	[(19, 27)]
Action	Mike Chittenden staggered in flames into a neighbouring office where terrified workers doused the flames .	[(16, 25)]
Morality	"Police regulation -- of which law enforcement was only a tool -- was about confining the ` troublesome "" poor to their quarters and ensuring that their nefarious characteristics were not contagious . "	[(152, 161)]
Morality	"` Was she a good person ? "" she asked . "	[(12, 16)]
Action	Pass through the village , and off to the right you will find a farmyard with chickens pecking , ducks waddling and a couple of horses grazing peacefully .	[(103, 111)]
Action	Hamza engaged the soldiers in a desperate firefight .	[(42, 51)]
Knowing	At first his tired dulled brain could not comprehend what had happened .	[(42, 52)]
Emotion	"` It astonishes me that you were even aware I was gone . "" "	[(5, 15)]
Learning	`` Progressive education '' ( as it was once called ) is far more interesting and agreeable to teachers than is disciplined instruction .	[(124, 135)]
Action	"` Jack and me got married very quietly yesterday afternoon . "" "	[(18, 25)]
Political region	The Persian Gulf War destroyed much of the country 's medical infrastructure , according to a report by the World Health Organization .	[(43, 50)]
Morality	Though the sinful propensities remain in us till our dying day , they need not be dominant .	[(11, 17)]
Sadness	His face was livid and bloody .	[(13, 18)]
Communication	Pugh outlines the work of the Pen Green Family Centre in Corby , Northamptonshire .	[(5, 13)]
Evaluation	But John Barnes ' assessment of the performance was more pointed .	[(18, 28)]
Action	As the three of them proceeded into Caucasia , they disturbed flocks of pelican , whose earthbound ungainliness was miraculously transfigured by flight .	[(21, 30)]
Action	If they married outside their own caste , they could be put to death .	[(8, 15)]
Knowing	I 'm convinced this is the answer for growing tender plants in Spartan conditions .	[(5, 14)]
Knowing	I do n't think that now .	[(9, 14)]
Morality	It was all quite sensible but a little nefarious .	[(39, 48)]
Action	The weather was clearing , the mist dispersing , the sun began to peep out .	[(66, 70)]
Cognizing	But competing with the conception of the other person 's thoughts is the child 's own knowledge of the location of the coin .	[(23, 33)]
Time	Centuries of tradition have portrayed dragons as fire breathing , flying serpents .	[(0, 9)]
Machine	He had none of the equipment of a detective , neither being particularly observant nor having any great insight into the psychology of small boys .	[(19, 28)]
Action	Iran 's biological warfare program began during the Iran - Iraq war .	[(19, 26)]
Time	His brief tenure of power in Java in the early 19th century saw more reform than the centuries of Dutch oppression .	[(85, 94)]
Emotion	While outlining big plans , Chan is equally enthusiastic about rectifying small situations that have long nettled residents .	[(106, 113)]
Action	She glanced over one shoulder .	[(4, 11)]
Idea	Magda was lost in a poem which was ` as independent and unintelligible as reality itself .	[(56, 70)]
Emotion	The Prime Minister dare not present a clear picture , because such a picture would annoy some group or other in the Tory party .	[(83, 88)]
Action	AUSTRIA , Once expected to waltz smoothly into the European Union , is elbowing its partners , treading on toes and pogo-dancing in a most un-Viennese manner .	[(95, 103)]
Affection	Because of this , Blanc expresses a real empathy with the average cook at home .	[(41, 48)]
Crime	Republican leader Bill Frist said the Senate was hijacked .	[(49, 57)]
Action	The reports of the fratricidal strife among the security forces indicated a threatening polarisation in the country as the regime dug in , while a burgeoning opposition gained in confidence .	[(31, 37)]
Consciousness	The Bogeyman was awake .	[(17, 22)]
Thinking about	She could hardly believe what he was telling her .	[(17, 24)]
Action	Mrs Lirriper married here , CS 16 .	[(13, 20)]
Action	Contralto , eyes rolling , ears flat , skittishly began to mince past them .	[(59, 64)]
Emotion	Land birds are constantly visiting the ship and the pretty Stormy Petrels are our constant companions while the ocean itself contains an abundance to amuse and gratify one .	[(160, 167)]
Communication	"` I knew I could count on you , "" she cooed . "	[(38, 43)]
Emotion	The stranger was flabbergasted .	[(17, 30)]
Idea	Those incomers with whom I discussed class agreed that awareness of class is a typically British trait .	[(55, 64)]
