Original	Free w/o position	Free w/ position	Controlled w/o position	Controlled w/ position
King Edward is now overlord of this northern kingdom.	King Edward is now the captain steering this northern ship of state.	King Edward is now the captain of this northern kingdom.	King Edward is now the father of this northern kingdom.	King Edward is now the father figure of this northern kingdom.
Mike Chittenden staggered in flames into a neighbouring office where terrified workers doused the flames.	Mike Chittenden staggered in flames into a neighboring office where terrified workers drowned the fire.	Mike Chittenden lurched in flames into a neighboring office where terrified workers doused the flames.	Mike Chittenden lurched in flames into a neighboring office where terrified workers doused the flames.	Mike Chittenden crawled in flames into a neighboring office where terrified workers doused the flames.
Police regulation — of which law enforcement was only a tool — was about confining the 'troublesome' poor to their quarters and ensuring that their nefarious characteristics were not contagious.	Police regulation—of which law enforcement was only a tool—was about caging the "troublesome" poor and ensuring that their nefarious disease did not spread.	Police regulation—of which law enforcement was only a tool—was about confining the "troublesome" poor to their quarters and ensuring that their nefarious plague was not contagious.	Police regulation—of which law enforcement was only a tool—was about keeping the "troublesome" poor on the straight path and ensuring that their nefarious characteristics were not contagious.	Police regulation—of which law enforcement was only a tool—was about keeping the "troublesome" poor in line and ensuring that their nefarious characteristics were not contagious.
Was she a good person?' she asked.	"Was she a saint or a sinner?" she asked.	"Was she a saint?" she asked.	"Was she a pure person?" she asked.	"Was she a pure person?" she asked.
Pass through the village, and off to the right you will find a farmyard with chickens pecking, ducks waddling, and a couple of horses grazing peacefully.	Pass through the village, and off to the right you will find a farmyard with chickens drilling, ducks marching, and a couple of horses stationed at their posts.	Pass through the village, and off to the right you will find a farmyard with chickens drilling, ducks waddling, and a couple of horses grazing peacefully.	Pass through the village, and off to the right you will find a farmyard with chickens marching forward, ducks waddling, and a couple of horses grazing peacefully.	Pass through the village, and off to the right you will find a farmyard with chickens marching forward, ducks waddling, and a couple of horses grazing peacefully.
Hamza engaged the soldiers in a desperate firefight.	Hamza clashed swords with the soldiers in a desperate battle.	Hamza engaged the soldiers in a desperate duel.	Hamza charged ahead against the soldiers in a desperate firefight.	Hamza charged the soldiers in a desperate firefight.
At first his tired, dulled brain could not comprehend what had happened.	At first, his tired dulled brain could not unlock the puzzle of what had happened.	At first, his tired dulled brain could not decode what had happened.	At first, his tired dulled brain could not see clearly what had happened.	At first, his tired dulled brain could not perceive clearly what had happened.
It astonishes me that you were even aware I was gone.'	"It blows me away that you even noticed I was gone."	"It blows me away that you were even aware I was gone."	"It strikes me that you were even aware I was gone."	"It shocks me that you were even aware I was gone."
Progressive education' (as it was once called) is far more interesting and agreeable to teachers than is disciplined instruction.	"Progressive education" (as it was once called) is far more nourishing and palatable to teachers than the rigid diet of disciplined instruction.	"Progressive education" (as it was once called) is far more interesting and agreeable to teachers than is force-fed instruction.	"Progressive education" (as it was once called) is far more interesting and agreeable to teachers than is grasping disciplined instruction.	"Progressive education" (as it was once called) is far more fruitful and agreeable to teachers than is disciplined instruction.
Jack and me got married very quietly yesterday afternoon.'	"Jack and me tied the knot very quietly yesterday afternoon."	"Jack and me tied the knot very quietly yesterday afternoon."	"Jack and me walked down the path of marriage very quietly yesterday afternoon."	"Jack and me tied the knot very quietly yesterday afternoon."
The Persian Gulf War destroyed much of the country's medical infrastructure, according to a report by the World Health Organization.	The Persian Gulf War amputated much of the country's medical backbone, according to a report by the World Health Organization.	The Persian Gulf War destroyed much of the country’s backbone, according to a report by the World Health Organization.	The Persian Gulf War derailed much of the country’s medical infrastructure, according to a report by the World Health Organization.	The Persian Gulf War overturned much of the country’s medical infrastructure, according to a report by the World Health Organization.
Though the sinful propensities remain in us till our dying day, they need not be dominant.	Though the sinful shadows linger in us till our final breath, they need not rule the soul.	Though the shadows remain in us till our dying day, they need not be dominant.	Though the crooked propensities remain in us till our dying day, they need not be dominant.	Though the sinful propensities remain in us till our dying day, they need not rule over us.
His face was livid and bloody.	His face was a stormy battlefield of rage and blood.	His face was a storm and bloody.	His face was downcast and bloodied.	His face was darkened and bruised.
Pugh outlines the work of the Pen Green Family Centre in Corby, Northamptonshire.	Pugh broadcasts the work of the Pen Green Family Centre in Corby, Northamptonshire.	Pugh broadcasts the work of the Pen Green Family Centre in Corby, Northamptonshire.	Pugh delivers the work of the Pen Green Family Centre in Corby, Northamptonshire.	Pugh delivers the work of the Pen Green Family Centre in Corby, Northamptonshire.
But John Barnes' assessment of the performance was more pointed.	But John Barnes’ verdict on the performance was more cutting.	But John Barnes’ verdict of the performance was more pointed.	But John Barnes’ measurement of the performance was more pointed.	But John Barnes’ assessment of the performance was more pointed.
As the three of them proceeded into Caucasia, they disturbed flocks of pelican, whose earthbound ungainliness was miraculously transfigured by flight.	As the three of them marched into Caucasia, they scattered flocks of pelicans, whose clumsy earthbound forms took flight like angels.	As the three of them proceeded into Caucasia, they ruffled flocks of pelicans, whose earthbound ungainliness was miraculously transfigured by flight.	As the three of them moved forward into Caucasia, they disturbed flocks of pelicans, whose earthbound ungainliness was miraculously transfigured by flight.	As the three of them moved into Caucasia, they disturbed flocks of pelicans, whose earthbound ungainliness was miraculously transfigured by flight.
If they married outside their own caste, they could be put to death.	If they crossed the walls of their caste, they could be executed.	If they crossed the walls of their own caste, they could be put to death.	If they propelled themselves outside their own caste, they could be put to death.	If they ventured beyond their own caste, they could be put to death.
I'm convinced this is the answer for growing tender plants in Spartan conditions.	"I have unearthed the answer for growing tender plants in Spartan conditions."	"I have unearthed the answer for growing tender plants in Spartan conditions."	"I have seen the answer for growing tender plants in Spartan conditions."	"I am certain this is the answer for growing tender plants in Spartan conditions."
I don't think that now.	"I don’t see that now."	"I don’t see that now."	"I don’t see that now."	"I don’t think that now."
It was all quite sensible but a little nefarious.	It was all quite logical but a little tainted.	It was all quite sensible but a little tainted.	It was all quite strong but a little nefarious.	It was all quite sensible but a little corrupt.
The weather was clearing, the mist dispersing, the sun began to peep out.	The weather was healing, the mist retreating, and the sun began to smile through.	The weather was clearing, the mist dispersing, and the sun began to smile out.	The weather was moving forward, the mist dispersing, the sun began to peep out.	The weather was opening up, the mist dispersing, the sun began to peek out.
But competing with the conception of the other person's thoughts is the child's own knowledge of the location of the coin.	But competing with the blueprint of the other person’s thoughts is the child’s own mental map of the coin’s location.	But competing with the blueprint of the other person’s thoughts is the child’s own knowledge of the location of the coin.	But speaking against the conception of the other person’s thoughts is the child’s own knowledge of the location of the coin.	But competing with the conception of the other person’s thoughts is the child’s own mental map of the location of the coin.
Centuries of tradition have portrayed dragons as fire-breathing, flying serpents.	Centuries of tradition have painted dragons as fire-breathing, sky-dwelling serpents.	Eras of tradition have portrayed dragons as fire-breathing, flying serpents.	Centuries have been spent portraying dragons as fire-breathing, flying serpents.	Centuries of tradition have portrayed dragons as fire-breathing, flying serpents.
He had none of the equipment of a detective, neither being particularly observant nor having any great insight into the psychology of small boys.	He had none of the tools of a detective, neither possessing sharp lenses nor carrying any deep psychological probes.	He had none of the tools of a detective, neither being particularly observant nor having any great insight into the psychology of small boys.	He had none of the human qualities of a detective, neither being particularly observant nor having any great insight into the psychology of small boys.	He had none of the tools of a detective, neither being particularly observant nor having any great insight into the psychology of small boys.
Iran's biological warfare program began during the Iran-Iraq war.	Iran's biological warfare program was born in the fires of the Iran-Iraq war.	Iran’s biological warfare program took root during the Iran-Iraq war.	Iran’s biological warfare program set out on its path during the Iran-Iraq war.	Iran's biological warfare program began its journey during the Iran-Iraq war.
His brief tenure of power in Java in the early 19th century saw more reform than the centuries of Dutch oppression.	His brief candle of power in Java in the early 19th century burned with more reform than the frozen centuries of Dutch oppression.	His brief tenure of power in Java in the early 19th century saw more reform than the frozen centuries of Dutch oppression.	His brief stay in power in Java in the early 19th century saw more reform than the long-standing centuries of Dutch oppression.	His brief tenure of power in Java in the early 19th century saw more reform than the centuries of longstanding Dutch oppression.
While outlining big plans, Chan is equally enthusiastic about rectifying small situations that have long nettled residents.	While outlining grand blueprints, Chan is equally fired up about fixing small cracks that have long irritated residents.	While outlining big plans, Chan is equally enthusiastic about rectifying cracks that have long nettled residents.	While outlining big plans, Chan is equally burning about rectifying small situations that have long nettled residents.	While outlining big plans, Chan is equally enthusiastic about rectifying long-burning issues that have long nettled residents.
She glanced over one shoulder.	She cast a quick glance over one shoulder.	She cast over one shoulder.	She moved over one shoulder.	She looked over one shoulder.
