Original	Free w/o position	Free w/ position	Controlled w/o position	Controlled w/ position
King Edward is now overlord of this northern kingdom.	"King Edward now holds the reins of this northern kingdom."	"King Edward is now holding the reins of this northern kingdom."	"King Edward is now the patriarch of this northern kingdom."	"King Edward is now the patriarch of this northern kingdom."
Mike Chittenden staggered in flames into a neighbouring office where terrified workers doused the flames.	"Mike Chittenden, a human torch, burst into a neighboring office where terrified workers extinguished the flames."	Mike Chittenden human torched in flames into a neighbouring office where terrified workers doused the flames.	Mike Chittenden propelled himself in flames into a neighbouring office where terrified workers doused the flames.	Mike Chittenden propelled in flames into a neighbouring office where terrified workers doused the flames.
Police regulation — of which law enforcement was only a tool — was about confining the 'troublesome' poor to their quarters and ensuring that their nefarious characteristics were not contagious.	"Police regulation -- of which law enforcement was only a tool -- was about fencing in the 'troublesome' poor to their quarters and ensuring their corrupt seeds did not spread."	"Police regulation -- of which law enforcement was only a tool -- was about confining the ` troublesome "" poor to their quarters and ensuring that their corrupt seeds were not contagious."	"Police regulation -- of which law enforcement was only a tool -- was about confining the ` troublesome "" poor to their quarters and ensuring that their crooked characteristics were not contagious."	"Police regulation -- of which law enforcement was only a tool -- was about confining the ` troublesome "" poor to their quarters and ensuring that their crooked characteristics were not contagious."
Was she a good person?' she asked.	"Was her moral compass pointing true?" she asked.	"` Was she a moral compass person ? "" she asked."	"` Was she a pure person ? "" she asked."	"` Was she a pure person ? "" she asked."
Pass through the village, and off to the right you will find a farmyard with chickens pecking, ducks waddling, and a couple of horses grazing peacefully.	"Navigate through the village, and off to the right, you'll find a farmyard where chickens scratch, ducks paddle, and a couple of horses graze at peace."	Pass through the village , and off to the right you will find a farmyard with chickens pecking , ducks waddling and a couple of horses at peace.	Navigate through the village, and off to the right you will find a farmyard with chickens pecking, ducks waddling and a couple of horses grazing peacefully.	Pass through the village, and off to the right you will find a farmyard with chickens pecking, ducks waddling and a couple of horses navigating peacefully.
Hamza engaged the soldiers in a desperate firefight.	"Hamza unleashed a storm of bullets upon the soldiers."	Hamza engaged the soldiers in a desperate bullet storm.	Hamza travelled against the soldiers in a desperate firefight.	Hamza travelled the soldiers in a desperate firefight.
At first his tired, dulled brain could not comprehend what had happened.	"At first, his mental fog prevented him from seeing the scene clearly."	At first his tired dulled brain could not see clearly what had happened.	At first his tired dulled brain could not discern what had happened.	At first his tired dulled brain could not discern what had happened.
It astonishes me that you were even aware I was gone.'	"It's a shockwave that you even registered my absence."	"` It strikes me like lightning that you were even aware I was gone. "" "	"` It's a weight that astonishes me that you were even aware I was gone. "" "	"` It's a weight that astonishes me that you were even aware I was gone. "" "
Progressive education' (as it was once called) is far more interesting and agreeable to teachers than is disciplined instruction.	" 'Progressive education' (as it was once called) is a more palatable feast for teachers than disciplined instruction."	" `` Progressive education '' ( as it was once called ) is far more interesting and agreeable to teachers than is a forced feeding instruction."	`` Progressive education '' ( as it was once called ) is far more interesting and agreeable to teachers than is disciplined instruction.	" `` Progressive education '' ( as it was once called ) is far more interesting and agreeable to teachers than is possessing disciplined instruction."
Jack and me got married very quietly yesterday afternoon.'	"Jack and I tied the knot in a quiet ceremony yesterday afternoon."	"` Jack and me got tied the knot very quietly yesterday afternoon . "" "	"` Jack and me journeyed to marriage very quietly yesterday afternoon. "" "	"` Jack and me journeyed to marriage very quietly yesterday afternoon. "" "
The Persian Gulf War destroyed much of the country's medical infrastructure, according to a report by the World Health Organization.	"The Persian Gulf War shattered the country's medical backbone, according to a report by the World Health Organization."	The Persian Gulf War shattered much of the country 's medical infrastructure , according to a report by the World Health Organization .	The Persian Gulf War wrecked much of the country's medical infrastructure, according to a report by the World Health Organization.	The Persian Gulf War wrecked much of the country 's medical infrastructure , according to a report by the World Health Organization .
Though the sinful propensities remain in us till our dying day, they need not be dominant.	"Though the weeds of sin remain in us until our dying day, they need not take root."	"Though the weeds sinful propensities remain in us till our dying day , they need not be dominant."	Though the sinful propensities remain in us till our dying day, they need not be upright.	Though the sinful propensities remain in us till our dying day , they need not be upright.
His face was livid and bloody.	"His face was a canvas of crimson and rage."	His face was crimson rage.	His face was sunken and bloody.	His face was sunken and bloody .
Pugh outlines the work of the Pen Green Family Centre in Corby, Northamptonshire.	"Pugh paints a picture of the work of the Pen Green Family Centre in Corby, Northamptonshire."	Pugh paints a picture the work of the Pen Green Family Centre in Corby , Northamptonshire .	Pugh transmitted the work of the Pen Green Family Centre in Corby, Northamptonshire.	Pugh transmitted the work of the Pen Green Family Centre in Corby , Northamptonshire .
But John Barnes' assessment of the performance was more pointed.	"But John Barnes' verdict on the performance was more cutting."	But John Barnes ' verdict of the performance was more pointed .	But John Barnes' measurement of the performance was more pointed.	But John Barnes ' measurement of the performance was more pointed .
As the three of them proceeded into Caucasia, they disturbed flocks of pelican, whose earthbound ungainliness was miraculously transfigured by flight.	"As the three of them sailed into Caucasia, they stirred flocks of pelican, whose earthbound clumsiness was magically lifted by flight."	As the three of them sailed into Caucasia , they disturbed flocks of pelican , whose earthbound ungainliness was miraculously transfigured by flight .	As the three of them voyaged into Caucasia, they disturbed flocks of pelican, whose earthbound ungainliness was miraculously transfigured by flight.	As the three of them voyaged into Caucasia , they disturbed flocks of pelican , whose earthbound ungainliness was miraculously transfigured by flight .
If they married outside their own caste, they could be put to death.	"If they strayed from their caste's path of marriage, they faced the executioner's blade."	If they strayed outside their own caste , they could be put to death .	If they moved outside their own caste, they could be put to death.	If they moved outside their own caste , they could be put to death .
I'm convinced this is the answer for growing tender plants in Spartan conditions.	"I'm convinced this is the key that unlocks the secret to growing tender plants in Spartan conditions."	I 'm holding the key this is the answer for growing tender plants in Spartan conditions .	I'm seeing that this is the answer for growing tender plants in Spartan conditions.	I 'm seeing this is the answer for growing tender plants in Spartan conditions .
I don't think that now.	"My mental landscape has shifted on that point."	I my mental view shifted that now .	I don't see that now.	I do n't see that now .
It was all quite sensible but a little nefarious.	"It was all quite logical but a shade of darkness."	It was all quite sensible but a little shaded of darkness.	It was all quite sensible but a little weak.	It was all quite sensible but a little weak.
The weather was clearing, the mist dispersing, the sun began to peep out.	"The weather was breaking through, the mist was retreating, the sun began to peek through the clouds."	The weather was clearing , the mist dispersing , the sun began to peek.	The weather moved to clearing, the mist to dispersing, the sun began to peep out.	The weather moved to clearing, the mist dispersing , the sun began to peep out .
